Year,CountryOrigin,CountryOriginISO,CountryAsylum,CountryAsylumISO,Female0-4,Female5-11,Female12-17,Female18-59,Female60,FemaleOther,FemaleTotal,Male0-4,Male0-4,Male5-11,Male12-17,Male18-59,Male60,MaleOther,Total
2022,Sri Lanka,LKA,Argentina,ARG,0,0,0,6,0,0,6,0,0,0,18,12,0,30,36
2022,North Macedonia,MKD,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9
2022,Mexico,MEX,Argentina,ARG,0,0,0,6,0,0,6,0,0,0,0,0,0,0,6
2022,Mali,MLI,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9
2022,Morocco,MAR,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,9,0,0,9,15
2022,Nepal,NPL,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,Nicaragua,NIC,Argentina,ARG,0,0,0,17,0,0,17,0,0,0,17,0,0,17,34
2022,Nigeria,NGA,Argentina,ARG,0,0,6,16,0,0,22,0,0,0,55,5,0,60,115
2022,Pakistan,PAK,Argentina,ARG,0,0,5,8,0,0,13,0,0,5,30,0,0,35,62
2022,Paraguay,PRY,Argentina,ARG,0,0,5,16,0,0,21,0,0,0,5,7,0,12,33
2022,Peru,PER,Argentina,ARG,30,0,0,219,73,0,322,26,0,5,203,88,0,322,649
2022,Philippines,PHL,Argentina,ARG,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2022,Romania,ROU,Argentina,ARG,0,0,0,16,5,0,21,0,0,0,24,6,0,30,51
2022,South Africa,ZAF,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,9,0,0,9,17
2022,Russian Federation,RUS,Argentina,ARG,5,15,5,188,17,0,230,6,13,13,242,13,0,287,549
2022,El Salvador,SLV,Argentina,ARG,0,0,5,28,0,0,33,0,0,0,45,0,0,45,85
2022,Senegal,SEN,Argentina,ARG,0,0,0,28,0,0,28,0,0,0,314,5,0,319,1285
2022,Sierra Leone,SLE,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,37,5,0,42,47
2022,Somalia,SOM,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5
2022,Spain,ESP,Argentina,ARG,0,0,0,5,0,0,5,0,0,0,0,0,0,0,10
2022,Sudan,SDN,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2022,Syrian Arab Rep.,SYR,Argentina,ARG,0,13,17,141,34,0,205,5,16,37,232,34,0,324,560
2022,Tunisia,TUN,Argentina,ARG,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2022,Türkiye,TUR,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2022,Unknown ,UNK,Argentina,ARG,0,6,0,9,0,0,15,0,0,6,19,0,642,667,687
2022,Ukraine,UKR,Argentina,ARG,0,0,6,55,15,0,76,0,6,5,65,7,0,83,180
2022,United States of America,USA,Argentina,ARG,0,0,0,0,0,0,0,0,7,0,5,0,0,12,17
2022,Venezuela (Bolivarian Republic of),VEN,Argentina,ARG,81,395,222,68996,157,14049,83900,93,468,207,69885,99,16390,87142,171050
2022,Yemen,YEM,Argentina,ARG,0,0,0,18,0,0,18,0,0,0,14,0,0,14,32
2022,Afghanistan,AFG,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2022,Egypt,EGY,Armenia,ARM,5,0,0,0,0,0,5,0,0,0,0,0,0,0,29
2022,Azerbaijan,AZE,Armenia,ARM,0,0,0,432,233,0,665,0,0,0,373,146,24,543,27938
2022,Congo,COG,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
