Year,Country of origin,Country of origin (ISO),CountryOfAsylum,Country of asylum (ISO),RefugeesTotal
2011,Iraq,IRQ,Australia,AUS,3085
2011,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,15652
2011,Iraq,IRQ,Malaysia,MYS,545
2011,Iraq,IRQ,Netherlands (Kingdom of the),NLD,18255
2011,Iraq,IRQ,United States of America,USA,5126
2011,Israel,ISR,Australia,AUS,31
2011,Israel,ISR,United Kingdom of Great Britain and Northern Ireland,GBR,11
2011,Israel,ISR,Netherlands (Kingdom of the),NLD,5
2011,Israel,ISR,United States of America,USA,195
2011,Italy,ITA,United States of America,USA,25
2011,Jamaica,JAM,United Kingdom of Great Britain and Northern Ireland,GBR,504
2011,Jamaica,JAM,Netherlands (Kingdom of the),NLD,25
2011,Jamaica,JAM,United States of America,USA,277
2011,Jordan,JOR,Australia,AUS,66
2011,Jordan,JOR,United Kingdom of Great Britain and Northern Ireland,GBR,23
2011,Jordan,JOR,Netherlands (Kingdom of the),NLD,11
2011,Jordan,JOR,United States of America,USA,415
2011,Japan,JPN,Australia,AUS,5
2011,Japan,JPN,United States of America,USA,13
2011,Kazakhstan,KAZ,Australia,AUS,8
2011,Kazakhstan,KAZ,United Kingdom of Great Britain and Northern Ireland,GBR,5
2011,Kazakhstan,KAZ,Netherlands (Kingdom of the),NLD,109
2011,Kazakhstan,KAZ,United States of America,USA,503
2011,Kenya,KEN,Australia,AUS,43
2011,Kenya,KEN,United Kingdom of Great Britain and Northern Ireland,GBR,599
2011,Kenya,KEN,Malaysia,MYS,5
2011,Kenya,KEN,Netherlands (Kingdom of the),NLD,32
2011,Kenya,KEN,United States of America,USA,2551
2011,Kyrgyzstan,KGZ,Australia,AUS,22
2011,Kyrgyzstan,KGZ,United Kingdom of Great Britain and Northern Ireland,GBR,15
2011,Kyrgyzstan,KGZ,Netherlands (Kingdom of the),NLD,67
2011,Kyrgyzstan,KGZ,United States of America,USA,493
2011,Rep. of Korea,KOR,Australia,AUS,32
2011,Rep. of Korea,KOR,United Kingdom of Great Britain and Northern Ireland,GBR,5
2011,Rep. of Korea,KOR,Netherlands (Kingdom of the),NLD,5
2011,Rep. of Korea,KOR,United States of America,USA,29
2011,Dem. People's Rep. of Korea,PRK,Australia,AUS,29
2011,Dem. People's Rep. of Korea,PRK,United Kingdom of Great Britain and Northern Ireland,GBR,603
2011,Dem. People's Rep. of Korea,PRK,Netherlands (Kingdom of the),NLD,36
2011,Dem. People's Rep. of Korea,PRK,United States of America,USA,25
2011,Kuwait,KWT,Australia,AUS,34
2011,Kuwait,KWT,United Kingdom of Great Britain and Northern Ireland,GBR,568
2011,Kuwait,KWT,Netherlands (Kingdom of the),NLD,9
2011,Kuwait,KWT,United States of America,USA,72
2011,Lao People's Dem. Rep.,LAO,Australia,AUS,5
2011,Lao People's Dem. Rep.,LAO,Netherlands (Kingdom of the),NLD,33
2011,Lao People's Dem. Rep.,LAO,United States of America,USA,268
2011,Liberia,LBR,Australia,AUS,18
2011,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,302
2011,Liberia,LBR,Malaysia,MYS,9
2011,Liberia,LBR,Netherlands (Kingdom of the),NLD,472
2011,Liberia,LBR,United States of America,USA,2964
2011,Libya,LBY,Australia,AUS,28
2011,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,515
2011,Libya,LBY,Netherlands (Kingdom of the),NLD,311
2011,Libya,LBY,United States of America,USA,115
2011,Saint Lucia,LCA,United States of America,USA,9
2011,Lebanon,LBN,Australia,AUS,271
2011,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,97
2011,Lebanon,LBN,Netherlands (Kingdom of the),NLD,52
2011,Lebanon,LBN,United States of America,USA,570
2011,Sri Lanka,LKA,Australia,AUS,2572
2011,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,5737
2011,Sri Lanka,LKA,Malaysia,MYS,2294
2011,Sri Lanka,LKA,Netherlands (Kingdom of the),NLD,706
2011,Sri Lanka,LKA,United States of America,USA,1310
2011,Lithuania,LTU,United Kingdom of Great Britain and Northern Ireland,GBR,7
2011,Lithuania,LTU,United States of America,USA,95
2011,Latvia,LVA,Australia,AUS,6
2011,Latvia,LVA,Netherlands (Kingdom of the),NLD,5
2011,Latvia,LVA,United States of America,USA,118
2011,Madagascar,MDG,United States of America,USA,20
2011,Mauritania,MRT,Australia,AUS,5
2011,Mauritania,MRT,United Kingdom of Great Britain and Northern Ireland,GBR,9
2011,Mauritania,MRT,Netherlands (Kingdom of the),NLD,26
2011,Mauritania,MRT,United States of America,USA,1887
2011,North Macedonia,MKD,United Kingdom of Great Britain and Northern Ireland,GBR,282
2011,North Macedonia,MKD,Netherlands (Kingdom of the),NLD,12
2011,North Macedonia,MKD,United States of America,USA,224
2011,Monaco,MCO,United States of America,USA,5
2011,Rep. of Moldova,MDA,United Kingdom of Great Britain and Northern Ireland,GBR,301
2011,Rep. of Moldova,MDA,Netherlands (Kingdom of the),NLD,8
2011,Rep. of Moldova,MDA,United States of America,USA,696
2011,Maldives,MDV,Australia,AUS,5
2011,Maldives,MDV,United Kingdom of Great Britain and Northern Ireland,GBR,5
2011,Maldives,MDV,United States of America,USA,6
2011,Mexico,MEX,Netherlands (Kingdom of the),NLD,5
2011,Mexico,MEX,United States of America,USA,1829
2011,Mali,MLI,United Kingdom of Great Britain and Northern Ireland,GBR,12
2011,Mali,MLI,Netherlands (Kingdom of the),NLD,10
2011,Mali,MLI,United States of America,USA,812
2011,Malaysia,MYS,Australia,AUS,49
2011,Malaysia,MYS,United Kingdom of Great Britain and Northern Ireland,GBR,32
2011,Malaysia,MYS,Netherlands (Kingdom of the),NLD,7
2011,Malaysia,MYS,United States of America,USA,165
2011,Malawi,MWI,United Kingdom of Great Britain and Northern Ireland,GBR,118
2011,Malawi,MWI,United States of America,USA,42
2011,Montenegro,MNE,United States of America,USA,53
2011,Mongolia,MNG,Australia,AUS,46
2011,Mongolia,MNG,United Kingdom of Great Britain and Northern Ireland,GBR,71
2011,Mongolia,MNG,Netherlands (Kingdom of the),NLD,48
2011,Mongolia,MNG,United States of America,USA,795
2011,Morocco,MAR,Australia,AUS,13
2011,Morocco,MAR,United Kingdom of Great Britain and Northern Ireland,GBR,73
2011,Morocco,MAR,Netherlands (Kingdom of the),NLD,16
2011,Morocco,MAR,United States of America,USA,112
2011,Mozambique,MOZ,Australia,AUS,5
2011,Malta,MLT,United States of America,USA,5
2011,Mauritius,MUS,United Kingdom of Great Britain and Northern Ireland,GBR,14
2011,Mauritius,MUS,United States of America,USA,15
2011,Myanmar,MMR,Australia,AUS,514
2011,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,789
2011,Myanmar,MMR,Malaysia,MYS,81146
2011,Myanmar,MMR,Netherlands (Kingdom of the),NLD,769
2011,Myanmar,MMR,United States of America,USA,3164
2011,Namibia,NAM,Netherlands (Kingdom of the),NLD,5
2011,Namibia,NAM,United States of America,USA,40
2011,Nepal,NPL,Australia,AUS,186
2011,Nepal,NPL,United Kingdom of Great Britain and Northern Ireland,GBR,117
2011,Nepal,NPL,Malaysia,MYS,7
2011,Nepal,NPL,Netherlands (Kingdom of the),NLD,348
2011,Nepal,NPL,United States of America,USA,4574
2011,Netherlands (Kingdom of the),NLD,United States of America,USA,11
2011,Niger,NER,United Kingdom of Great Britain and Northern Ireland,GBR,5
2011,Niger,NER,Netherlands (Kingdom of the),NLD,53
2011,Niger,NER,United States of America,USA,236
2011,Nicaragua,NIC,United States of America,USA,383
2011,Nigeria,NGA,Australia,AUS,106
2011,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,1089
2011,Nigeria,NGA,Netherlands (Kingdom of the),NLD,216
2011,Nigeria,NGA,United States of America,USA,686
2011,Niue,NIU,United States of America,USA,7
2011,Oman,OMN,United Kingdom of Great Britain and Northern Ireland,GBR,5
2011,Pakistan,PAK,Australia,AUS,1038
2011,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,4408
2011,Pakistan,PAK,Malaysia,MYS,48
2011,Pakistan,PAK,Netherlands (Kingdom of the),NLD,203
2011,Pakistan,PAK,United States of America,USA,3342
2011,Panama,PAN,United Kingdom of Great Britain and Northern Ireland,GBR,5
2011,Panama,PAN,United States of America,USA,30
2011,Paraguay,PRY,United States of America,USA,28
2011,Peru,PER,Australia,AUS,6
2011,Peru,PER,United Kingdom of Great Britain and Northern Ireland,GBR,5
2011,Peru,PER,Netherlands (Kingdom of the),NLD,9
2011,Peru,PER,United States of America,USA,1204
2011,Philippines,PHL,Australia,AUS,19
2011,Philippines,PHL,Netherlands (Kingdom of the),NLD,15
2011,Philippines,PHL,United States of America,USA,299
2011,Papua New Guinea,PNG,Australia,AUS,126
2011,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR,86
2011,Poland,POL,United States of America,USA,66
2011,Portugal,PRT,United States of America,USA,7
2011,Qatar,QAT,United States of America,USA,6
2011,Romania,ROU,Australia,AUS,17
2011,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,343
2011,Romania,ROU,Netherlands (Kingdom of the),NLD,21
2011,Romania,ROU,United States of America,USA,815
2011,South Africa,ZAF,Australia,AUS,31
2011,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,107
2011,South Africa,ZAF,United States of America,USA,108
2011,Russian Federation,RUS,Australia,AUS,103
2011,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR,1421
2011,Russian Federation,RUS,Malaysia,MYS,5
2011,Russian Federation,RUS,Netherlands (Kingdom of the),NLD,1007
2011,Russian Federation,RUS,United States of America,USA,6863
2011,Rwanda,RWA,Australia,AUS,26
2011,Rwanda,RWA,United Kingdom of Great Britain and Northern Ireland,GBR,858
2011,Rwanda,RWA,Netherlands (Kingdom of the),NLD,462
2011,Rwanda,RWA,United States of America,USA,913
2011,El Salvador,SLV,Australia,AUS,5
2011,El Salvador,SLV,United Kingdom of Great Britain and Northern Ireland,GBR,5
2011,El Salvador,SLV,United States of America,USA,4706
2011,Saudi Arabia,SAU,Australia,AUS,26
2011,Saudi Arabia,SAU,United Kingdom of Great Britain and Northern Ireland,GBR,22
2011,Saudi Arabia,SAU,Netherlands (Kingdom of the),NLD,19
2011,Saudi Arabia,SAU,United States of America,USA,103
2011,Senegal,SEN,Australia,AUS,5
2011,Senegal,SEN,United Kingdom of Great Britain and Northern Ireland,GBR,28
2011,Senegal,SEN,Netherlands (Kingdom of the),NLD,13
2011,Senegal,SEN,United States of America,USA,338
2011,Seychelles,SYC,United States of America,USA,29
2011,Singapore,SGP,United States of America,USA,30
2011,Sierra Leone,SLE,Australia,AUS,35
2011,Sierra Leone,SLE,United Kingdom of Great Britain and Northern Ireland,GBR,972
2011,Sierra Leone,SLE,Malaysia,MYS,5
2011,Sierra Leone,SLE,Netherlands (Kingdom of the),NLD,2162
2011,Sierra Leone,SLE,United States of America,USA,1305
2011,Solomon Islands,SLB,Australia,AUS,24
2011,Somalia,SOM,Australia,AUS,77
2011,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,19668
2011,Somalia,SOM,Malaysia,MYS,812
2011,Somalia,SOM,Netherlands (Kingdom of the),NLD,15715
2011,Somalia,SOM,United States of America,USA,2996
2011,Spain,ESP,United States of America,USA,10
2011,Serbia and Kosovo: S/RES/1244 (1999),SRB,Australia,AUS,87
2011,Serbia and Kosovo: S/RES/1244 (1999),SRB,United Kingdom of Great Britain and Northern Ireland,GBR,4364
2011,Serbia and Kosovo: S/RES/1244 (1999),SRB,Netherlands (Kingdom of the),NLD,794
2011,Serbia and Kosovo: S/RES/1244 (1999),SRB,United States of America,USA,1885
2011,Viet Nam,VNM,Australia,AUS,58
2011,Viet Nam,VNM,United Kingdom of Great Britain and Northern Ireland,GBR,1066
2011,Viet Nam,VNM,Malaysia,MYS,5
2011,Viet Nam,VNM,Netherlands (Kingdom of the),NLD,34
2011,Viet Nam,VNM,United States of America,USA,270
2011,Stateless,XXA,Australia,AUS,849
2011,Stateless,XXA,United Kingdom of Great Britain and Northern Ireland,GBR,675
2011,Stateless,XXA,Netherlands (Kingdom of the),NLD,728
2011,Stateless,XXA,United States of America,USA,1216
2011,Sudan,SDN,Australia,AUS,49
2011,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR,3550
2011,Sudan,SDN,Malaysia,MYS,70
2011,Sudan,SDN,Netherlands (Kingdom of the),NLD,1506
2011,Sudan,SDN,United States of America,USA,1857
2011,Suriname,SUR,United States of America,USA,7
2011,Slovakia,SVK,Netherlands (Kingdom of the),NLD,16
2011,Slovakia,SVK,United States of America,USA,21
2011,Slovenia,SVN,United States of America,USA,11
2011,Eswatini,SWZ,United Kingdom of Great Britain and Northern Ireland,GBR,9
2011,Eswatini,SWZ,United States of America,USA,5
2011,Sweden,SWE,United States of America,USA,10
2011,Syrian Arab Rep.,SYR,Australia,AUS,84
2011,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,693
2011,Syrian Arab Rep.,SYR,Malaysia,MYS,5
2011,Syrian Arab Rep.,SYR,Netherlands (Kingdom of the),NLD,1064
2011,Syrian Arab Rep.,SYR,United States of America,USA,373
2011,United Rep. of Tanzania,TZA,Australia,AUS,11
2011,United Rep. of Tanzania,TZA,United Kingdom of Great Britain and Northern Ireland,GBR,96
2011,United Rep. of Tanzania,TZA,Netherlands (Kingdom of the),NLD,10
2011,United Rep. of Tanzania,TZA,United States of America,USA,171
2011,Turks and Caicos Islands,TCA,United States of America,USA,14
2011,Thailand,THA,Australia,AUS,15
2011,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,GBR,19
2011,Thailand,THA,Malaysia,MYS,9
2011,Thailand,THA,United States of America,USA,22
2011,Tibetan,TIB,Australia,AUS,7
2011,Tajikistan,TJK,United Kingdom of Great Britain and Northern Ireland,GBR,5
2011,Tajikistan,TJK,Netherlands (Kingdom of the),NLD,47
2011,Tajikistan,TJK,United States of America,USA,165
2011,Turkmenistan,TKM,United Kingdom of Great Britain and Northern Ireland,GBR,36
2011,Turkmenistan,TKM,Netherlands (Kingdom of the),NLD,20
2011,Turkmenistan,TKM,United States of America,USA,301
2011,Timor-Leste,TLS,Australia,AUS,8
2011,Togo,TGO,Australia,AUS,5
2011,Togo,TGO,United Kingdom of Great Britain and Northern Ireland,GBR,47
2011,Togo,TGO,Netherlands (Kingdom of the),NLD,187
2011,Togo,TGO,United States of America,USA,2288
2011,Tonga,TON,Australia,AUS,7
2011,Trinidad and Tobago,TTO,United Kingdom of Great Britain and Northern Ireland,GBR,14
2011,Trinidad and Tobago,TTO,Netherlands (Kingdom of the),NLD,5
2011,Trinidad and Tobago,TTO,United States of America,USA,56
2011,Tunisia,TUN,Australia,AUS,12
2011,Tunisia,TUN,United Kingdom of Great Britain and Northern Ireland,GBR,26
2011,Tunisia,TUN,Netherlands (Kingdom of the),NLD,39
2011,Tunisia,TUN,United States of America,USA,35
2011,Türkiye,TUR,Australia,AUS,267
2011,Türkiye,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,5776
2011,Türkiye,TUR,Netherlands (Kingdom of the),NLD,577
2011,Türkiye,TUR,United States of America,USA,543
2011,United Arab Emirates,ARE,Australia,AUS,5
2011,United Arab Emirates,ARE,United Kingdom of Great Britain and Northern Ireland,GBR,7
2011,United Arab Emirates,ARE,United States of America,USA,25
2011,Uganda,UGA,Australia,AUS,42
2011,Uganda,UGA,United Kingdom of Great Britain and Northern Ireland,GBR,1417
2011,Uganda,UGA,Netherlands (Kingdom of the),NLD,195
2011,Uganda,UGA,United States of America,USA,1349
2011,Unknown ,UNK,Australia,AUS,183
2011,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,47254
2011,Unknown ,UNK,Netherlands (Kingdom of the),NLD,3665
2011,Unknown ,UNK,United States of America,USA,1077
2011,Ukraine,UKR,Australia,AUS,40
2011,Ukraine,UKR,United Kingdom of Great Britain and Northern Ireland,GBR,252
2011,Ukraine,UKR,Netherlands (Kingdom of the),NLD,103
2011,Ukraine,UKR,United States of America,USA,1463
2011,Uruguay,URY,United States of America,USA,17
2011,United States of America,USA,Australia,AUS,8
2011,United States of America,USA,United Kingdom of Great Britain and Northern Ireland,GBR,6
2011,Uzbekistan,UZB,Australia,AUS,31
2011,Uzbekistan,UZB,United Kingdom of Great Britain and Northern Ireland,GBR,41
2011,Uzbekistan,UZB,Netherlands (Kingdom of the),NLD,207
2011,Uzbekistan,UZB,United States of America,USA,1738
2011,Saint Vincent and the Grenadines,VCT,United States of America,USA,5
2011,Venezuela (Bolivarian Republic of),VEN,Australia,AUS,9
2011,Venezuela (Bolivarian Republic of),VEN,United Kingdom of Great Britain and Northern Ireland,GBR,12
2011,Venezuela (Bolivarian Republic of),VEN,United States of America,USA,6441
2011,Western Sahara,ESH,United Kingdom of Great Britain and Northern Ireland,GBR,5
2011,Yemen,YEM,Australia,AUS,5
2011,Yemen,YEM,United Kingdom of Great Britain and Northern Ireland,GBR,183
2011,Yemen,YEM,Malaysia,MYS,18
2011,Yemen,YEM,Netherlands (Kingdom of the),NLD,38
2011,Yemen,YEM,United States of America,USA,339
2011,Zambia,ZMB,Australia,AUS,5
2011,Zambia,ZMB,United Kingdom of Great Britain and Northern Ireland,GBR,34
2011,Zambia,ZMB,United States of America,USA,105
2011,Zimbabwe,ZWE,Australia,AUS,888
2011,Zimbabwe,ZWE,United Kingdom of Great Britain and Northern Ireland,GBR,15118
2011,Zimbabwe,ZWE,Malaysia,MYS,5
2011,Zimbabwe,ZWE,Netherlands (Kingdom of the),NLD,36
2011,Zimbabwe,ZWE,United States of America,USA,1876
2012,Afghanistan,AFG,Australia,AUS,7192
2012,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,9845
2012,Afghanistan,AFG,Malaysia,MYS,349
2012,Afghanistan,AFG,Netherlands (Kingdom of the),NLD,6126
2012,Afghanistan,AFG,United States of America,USA,1017
2012,Albania,ALB,Australia,AUS,58
2012,Albania,ALB,United Kingdom of Great Britain and Northern Ireland,GBR,1139
2012,Albania,ALB,Netherlands (Kingdom of the),NLD,18
2012,Albania,ALB,United States of America,USA,4422
2012,Algeria,DZA,Australia,AUS,11
2012,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR,636
2012,Algeria,DZA,Netherlands (Kingdom of the),NLD,29
2012,Algeria,DZA,United States of America,USA,216
2012,Andorra,AND,United States of America,USA,6
2012,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,1156
2012,Angola,AGO,Netherlands (Kingdom of the),NLD,722
2012,Angola,AGO,United States of America,USA,134
2012,Antigua and Barbuda,ATG,United States of America,USA,5
2012,Egypt,EGY,Australia,AUS,810
2012,Egypt,EGY,United Kingdom of Great Britain and Northern Ireland,GBR,204
2012,Egypt,EGY,Netherlands (Kingdom of the),NLD,92
2012,Egypt,EGY,United States of America,USA,6297
2012,Argentina,ARG,United States of America,USA,123
2012,Armenia,ARM,Australia,AUS,5
2012,Armenia,ARM,United Kingdom of Great Britain and Northern Ireland,GBR,30
2012,Armenia,ARM,Netherlands (Kingdom of the),NLD,926
2012,Armenia,ARM,United States of America,USA,4076
2012,Australia,AUS,Australia,AUS,5
2012,Austria,AUT,United States of America,USA,5
2012,Azerbaijan,AZE,Australia,AUS,5
2012,Azerbaijan,AZE,United Kingdom of Great Britain and Northern Ireland,GBR,86
2012,Azerbaijan,AZE,Netherlands (Kingdom of the),NLD,1436
2012,Azerbaijan,AZE,United States of America,USA,582
2012,Bahrain,BHR,Australia,AUS,74
2012,Bahrain,BHR,United Kingdom of Great Britain and Northern Ireland,GBR,101
2012,Bahrain,BHR,United States of America,USA,40
2012,Burundi,BDI,Australia,AUS,28
2012,Burundi,BDI,United Kingdom of Great Britain and Northern Ireland,GBR,889
2012,Burundi,BDI,Netherlands (Kingdom of the),NLD,1656
2012,Burundi,BDI,United States of America,USA,464
2012,Belgium,BEL,United States of America,USA,38
2012,Benin,BEN,United Kingdom of Great Britain and Northern Ireland,GBR,10
2012,Benin,BEN,Netherlands (Kingdom of the),NLD,11
2012,Benin,BEN,United States of America,USA,64
2012,Bangladesh,BGD,Australia,AUS,334
2012,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,1425
2012,Bangladesh,BGD,Malaysia,MYS,16
2012,Bangladesh,BGD,Netherlands (Kingdom of the),NLD,31
2012,Bangladesh,BGD,United States of America,USA,1117
2012,Bahamas,BHS,United States of America,USA,180
2012,Bhutan,BTN,United Kingdom of Great Britain and Northern Ireland,GBR,100
2012,Bhutan,BTN,Malaysia,MYS,5
2012,Bhutan,BTN,Netherlands (Kingdom of the),NLD,211
2012,Bhutan,BTN,United States of America,USA,70
2012,Burkina Faso,BFA,United Kingdom of Great Britain and Northern Ireland,GBR,6
2012,Burkina Faso,BFA,Netherlands (Kingdom of the),NLD,11
2012,Burkina Faso,BFA,United States of America,USA,548
2012,Belarus,BLR,Australia,AUS,6
2012,Belarus,BLR,United Kingdom of Great Britain and Northern Ireland,GBR,145
2012,Belarus,BLR,Netherlands (Kingdom of the),NLD,110
2012,Belarus,BLR,United States of America,USA,2054
2012,Bolivia (Plurinational State of),BOL,United Kingdom of Great Britain and Northern Ireland,GBR,19
2012,Bolivia (Plurinational State of),BOL,United States of America,USA,137
2012,Botswana,BWA,United Kingdom of Great Britain and Northern Ireland,GBR,11
2012,Botswana,BWA,United States of America,USA,5
2012,Brazil,BRA,Australia,AUS,6
2012,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,9
2012,Brazil,BRA,United States of America,USA,679
2012,Bosnia and Herzegovina,BIH,United Kingdom of Great Britain and Northern Ireland,GBR,55
2012,Bosnia and Herzegovina,BIH,Netherlands (Kingdom of the),NLD,247
2012,Bosnia and Herzegovina,BIH,United States of America,USA,200
2012,Bulgaria,BGR,United Kingdom of Great Britain and Northern Ireland,GBR,11
2012,Bulgaria,BGR,Netherlands (Kingdom of the),NLD,5
2012,Bulgaria,BGR,United States of America,USA,796
2012,Belize,BLZ,United States of America,USA,29
2012,Cambodia,KHM,Australia,AUS,23
2012,Cambodia,KHM,Malaysia,MYS,58
2012,Cambodia,KHM,Netherlands (Kingdom of the),NLD,31
2012,Cambodia,KHM,United States of America,USA,356
2012,Canada,CAN,United Kingdom of Great Britain and Northern Ireland,GBR,5
2012,Canada,CAN,United States of America,USA,58
2012,Central African Rep.,CAF,United Kingdom of Great Britain and Northern Ireland,GBR,5
2012,Central African Rep.,CAF,Netherlands (Kingdom of the),NLD,6
2012,Central African Rep.,CAF,United States of America,USA,228
2012,Chad,TCD,United Kingdom of Great Britain and Northern Ireland,GBR,46
2012,Chad,TCD,Netherlands (Kingdom of the),NLD,17
2012,Chad,TCD,United States of America,USA,436
2012,China,CHN,Australia,AUS,2678
2012,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR,2158
2012,China,CHN,Malaysia,MYS,82
2012,China,CHN,Netherlands (Kingdom of the),NLD,1117
2012,China,CHN,United States of America,USA,60615
2012,Chile,CHL,United States of America,USA,69
2012,Cameroon,CMR,Australia,AUS,52
2012,Cameroon,CMR,United Kingdom of Great Britain and Northern Ireland,GBR,763
2012,Cameroon,CMR,Netherlands (Kingdom of the),NLD,179
2012,Cameroon,CMR,United States of America,USA,6676
2012,Congo,COG,Australia,AUS,16
2012,Congo,COG,United Kingdom of Great Britain and Northern Ireland,GBR,500
2012,Congo,COG,Netherlands (Kingdom of the),NLD,680
2012,Congo,COG,United States of America,USA,1608
2012,Dem. Rep. of the Congo,COD,Australia,AUS,30
2012,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,3313
2012,Dem. Rep. of the Congo,COD,Malaysia,MYS,6
2012,Dem. Rep. of the Congo,COD,Netherlands (Kingdom of the),NLD,833
2012,Dem. Rep. of the Congo,COD,United States of America,USA,891
2012,Comoros,COM,United States of America,USA,7
2012,Colombia,COL,Australia,AUS,118
2012,Colombia,COL,United Kingdom of Great Britain and Northern Ireland,GBR,341
2012,Colombia,COL,Netherlands (Kingdom of the),NLD,295
2012,Colombia,COL,United States of America,USA,17766
2012,Costa Rica,CRI,United States of America,USA,20
2012,Cuba,CUB,Australia,AUS,5
2012,Cuba,CUB,United Kingdom of Great Britain and Northern Ireland,GBR,16
2012,Cuba,CUB,Netherlands (Kingdom of the),NLD,15
2012,Cuba,CUB,United States of America,USA,677
2012,Cyprus,CYP,United Kingdom of Great Britain and Northern Ireland,GBR,5
2012,Czechia,CZE,United Kingdom of Great Britain and Northern Ireland,GBR,35
2012,Czechia,CZE,United States of America,USA,33
2012,Djibouti,DJI,Netherlands (Kingdom of the),NLD,10
2012,Djibouti,DJI,United States of America,USA,88
2012,Dominica,DMA,United States of America,USA,11
2012,Dominican Rep.,DOM,United States of America,USA,60
2012,Ecuador,ECU,Australia,AUS,5
2012,Ecuador,ECU,United Kingdom of Great Britain and Northern Ireland,GBR,97
2012,Ecuador,ECU,Netherlands (Kingdom of the),NLD,10
2012,Ecuador,ECU,United States of America,USA,185
2012,Equatorial Guinea,GNQ,United States of America,USA,10
2012,Eritrea,ERI,Australia,AUS,96
2012,Eritrea,ERI,United Kingdom of Great Britain and Northern Ireland,GBR,9903
2012,Eritrea,ERI,Malaysia,MYS,7
2012,Eritrea,ERI,Netherlands (Kingdom of the),NLD,2103
2012,Eritrea,ERI,United States of America,USA,3512
2012,Estonia,EST,United States of America,USA,328
2012,Ethiopia,ETH,Australia,AUS,189
2012,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,1508
2012,Ethiopia,ETH,Malaysia,MYS,5
2012,Ethiopia,ETH,Netherlands (Kingdom of the),NLD,726
2012,Ethiopia,ETH,United States of America,USA,10508
2012,Fiji,FJI,Australia,AUS,279
2012,Fiji,FJI,United Kingdom of Great Britain and Northern Ireland,GBR,8
2012,Fiji,FJI,United States of America,USA,617
2012,Finland,FIN,United States of America,USA,5
2012,France,FRA,Australia,AUS,5
2012,France,FRA,United States of America,USA,42
2012,Gabon,GAB,Netherlands (Kingdom of the),NLD,5
2012,Gabon,GAB,United States of America,USA,58
2012,Gambia,GMB,Australia,AUS,5
2012,Gambia,GMB,United Kingdom of Great Britain and Northern Ireland,GBR,794
2012,Gambia,GMB,Netherlands (Kingdom of the),NLD,22
2012,Gambia,GMB,United States of America,USA,1049
2012,Palestinian,PSE,Australia,AUS,179
2012,Palestinian,PSE,United Kingdom of Great Britain and Northern Ireland,GBR,282
2012,Palestinian,PSE,Malaysia,MYS,235
2012,Palestinian,PSE,Netherlands (Kingdom of the),NLD,55
2012,Palestinian,PSE,United States of America,USA,8
2012,United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom of Great Britain and Northern Ireland,GBR,8
2012,United Kingdom of Great Britain and Northern Ireland,GBR,United States of America,USA,53
2012,Georgia,GEO,Australia,AUS,6
2012,Georgia,GEO,United Kingdom of Great Britain and Northern Ireland,GBR,66
2012,Georgia,GEO,Netherlands (Kingdom of the),NLD,117
2012,Georgia,GEO,United States of America,USA,693
2012,Germany,DEU,United States of America,USA,64
2012,Ghana,GHA,Australia,AUS,28
2012,Ghana,GHA,United Kingdom of Great Britain and Northern Ireland,GBR,200
2012,Ghana,GHA,Netherlands (Kingdom of the),NLD,5
2012,Ghana,GHA,United States of America,USA,185
2012,Guinea-Bissau,GNB,United Kingdom of Great Britain and Northern Ireland,GBR,9
2012,Guinea-Bissau,GNB,Netherlands (Kingdom of the),NLD,5
2012,Guinea-Bissau,GNB,United States of America,USA,38
2012,Greece,GRC,United States of America,USA,29
2012,Grenada,GRD,United Kingdom of Great Britain and Northern Ireland,GBR,5
